Code,Name,総人口
2201,青森市,256180
2202,弘前市,155952
2203,八戸市,205136
2204,黒石市,28896
2205,五所川原市,47493
2206,十和田市,56775
2207,三沢市,37121
2208,むつ市,49699
2209,つがる市,27069
2210,平川市,28776
2301,平内町,9129
2303,今別町,1890
2304,蓬田村,2253
2307,外ヶ浜町,4512
2321,鰺ヶ沢町,7743
2323,深浦町,6263
2343,西目屋村,1121
2361,藤崎町,14117
2362,大鰐町,7609
2367,田舎館村,6851
2381,板柳町,11531
2384,鶴田町,10763
2387,中泊町,8177
2401,野辺地町,11197
2402,七戸町,13114
2405,六戸町,9970
2406,横浜町,3817
2408,東北町,14888
2411,六ヶ所村,10603
2412,おいらせ町,23688
2423,大間町,4091
2424,東通村,5195
2425,風間浦村,1380
2426,佐井村,1465
2441,三戸町,8000
2442,五戸町,14335
2443,田子町,4347
2445,南部町,15184
2446,階上町,12216
2450,新郷村,1849
